1,나노전자,전기 부품·제품 조립·검사원,상용직,시급,10000,경기도 화성시 마도면 청원산단1길 10-9 나노전자,중소,경기지역본부,126.7744029,37.1711787
2,클린서비스,섬유·의복 분야 단순 종사원,상용직,시급,9620,대전광역시 대덕구 신탄진로839번길 37 (신탄진동),중소,대전지역본부,127.4277002,36.4537683
3,사단법인 충북중증장애인복지협회,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620,"충청북도 청주시 청원구 덕벌로41번길 7-2 (내덕동) 102호, 201호","협회,단체",충북지사,127.4939288,36.654028
4,전라북도과학교육원,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",상용직,월급,1650420,전라북도 익산시 선화로 836-2 (부송동),"공사,공공",전북지사,126.9997376,35.9715582
5,리엔장성형외과피부과의원,사무 보조원(일반사업체),상용직,연봉,33000000,서울특별시 서초구 서초대로77길 55  (서초동),중소,서울동부지사,127.0244659,37.5021008
6,지멘스 헬시니어스(주),인사 사무원,계약직,월급,1150000,경상북도 포항시 남구 지곡로 394 2벤처동,중소,서울동부지사,129.3152098,36.0359995
7,주)덕용푸드시스템,주방 보조원(일반 음식점),상용직,시급,9620,서울특별시 마포구 월드컵북로 14 3층 (동교동),중소,서울동부지사,126.9205166,37.5564262
8,(유)아웃백스테이크하우스코리아,주방 보조원(일반 음식점),상용직,시급,11560,경기도 하남시 미사대로 750 지하1층 아웃백스테이크하우스 하남스타필드점 (신장동),중소,경기동부지사,127.2238404,37.5454628
9,한화시스템(주),총무 및 일반 사무원,계약직,월급,2400000,경상북도 구미시 1공단로 244 (공단동),대기업,경기동부지사,128.3909225,36.1005748
10,건국대학교병원,의료 보조원,계약직,월급,1100000,서울특별시 광진구 동일로24길 63 건국대학교 병원 (화양동) (화양동),중소,서울북부지사,127.068652,37.5430901
11,(주)이피엠네트워크,사무 보조원(일반사업체),상용직,월급,2000000,서울특별시 성동구 천호대로 426 장호빌딩 201호 (용답동),중소,서울북부지사,127.0662453,37.5608962
12,면목고등학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,월급,1200000,"서울특별시 중랑구 용마산로 193 (면목동), 72길 36-14","공사,공공",서울북부지사,127.0859474,37.5710013
13,한국국제보건의료재단,사무 보조원(공공기관),계약직,월급,2000000,"서울특별시 광진구 능동로 400 (중곡동,보건복지행정타운) 6층, 7층 ","공사,공공",서울북부지사,127.0844568,37.5650581
14,세창의료재단,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,월급,2010580,경기도 안산시 단원구 고잔로 58-10 (고잔동),중소,경기서부지사,126.8320125,37.3184583
15,(주)이랑,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,9160,경기도 안양시 만안구 안양로329번길 108 안양월드204호,중소,경기서부지사,126.9131497,37.4013425
16,주식회사 에스티엔인포텍,화가 및 조각가,상용직,월급,1000000,경기도 광명시 하안로 60 A동 8층 10~13호  (소하동),중소,경기서부지사,126.8939706,37.4447844
